Order No,Item ID,Sales Date,Customer Id,City Id,Qty,Price,COGS,Discount Percent
65,27,12/26/2017,884,9,1,83,66,45
66,27,11/13/2017,600,19,2,83,66,35
67,25,11/18/2017,3053,55,1,67,53,2
68,3,7/24/2017,788,99,2,753,301,32
69,11,1/17/2017,3102,14,1,73,36,17
70,23,11/19/2017,3786,96,1,67,46,13
71,19,3/9/2017,2379,38,1,83,66,42
72,11,10/28/2017,1912,94,2,73,36,35
73,26,1/17/2017,931,63,1,65,52,19
74,2,10/19/2017,491,57,1,200,140,12
75,11,8/29/2017,1471,96,1,73,36,23
76,28,11/12/2017,3882,16,1,92,64,35
77,12,11/19/2017,647,75,1,67,40,45
78,12,10/4/2017,3633,61,2,67,40,6
79,2,4/14/2017,762,85,1,200,140,17
80,27,2/17/2017,2445,9,2,83,66,26
81,28,8/17/2017,321,35,2,92,64,12
82,11,1/6/2017,1817,95,1,73,36,38
83,20,7/4/2017,1810,58,1,50,40,36
84,25,12/12/2017,2812,44,1,67,53,29
85,22,12/16/2017,1612,100,2,83,70,12
86,25,11/7/2017,765,6,2,67,53,14
87,10,12/13/2017,1306,99,1,100,84,13
88,14,12/2/2017,2746,11,2,83,70,17
89,2,11/24/2017,3521,43,2,200,140,28
90,24,11/29/2017,2985,8,2,91,77,38
91,9,12/27/2017,2547,38,1,100,83,18
92,26,2/2/2017,2392,19,2,65,52,7
93,26,8/29/2017,956,72,1,65,52,3
94,2,7/8/2017,1444,87,1,200,140,23
95,10,4/22/2017,2863,8,1,100,84,43
96,8,2/14/2017,842,73,2,97,67,28
97,21,7/13/2017,1779,62,2,47,39,42
98,28,10/23/2017,2481,35,1,92,64,9
99,3,5/29/2017,3265,75,1,753,301,40
100,28,2/21/2017,1129,77,2,92,64,11
101,23,1/11/2017,1696,76,2,67,46,32
102,11,6/11/2017,1088,88,1,73,36,14
103,20,8/14/2017,1988,90,1,50,40,42
104,17,10/19/2017,1198,47,1,92,36,25
105,30,12/18/2017,716,92,1,40,36,27
106,17,12/26/2017,1733,16,2,92,36,2
107,25,1/9/2017,210,38,2,67,53,1
108,21,1/16/2017,1114,52,1,47,39,38
109,6,1/5/2017,2535,43,1,93,65,4
110,5,10/2/2017,1126,64,1,333,259,41
111,18,11/30/2017,3813,67,2,83,53,28
112,24,1/4/2017,334,98,1,91,77,29
113,29,3/22/2017,1039,89,2,53,45,20
114,4,1/5/2017,2908,6,2,233,172,16
115,2,11/20/2017,293,25,2,200,140,36
116,11,8/23/2017,3606,59,2,73,36,17
117,14,5/7/2017,936,98,1,83,70,7
118,15,12/21/2017,72,55,1,40,38,2
119,8,4/6/2017,2901,40,2,97,67,41
120,8,11/25/2017,3941,58,2,97,67,34
121,7,7/30/2017,876,58,1,100,78,32
122,1,5/3/2017,1262,62,1,267,202,16
123,26,10/29/2017,2029,92,2,65,52,27
124,10,1/2/2018,220,94,1,100,84,17
125,6,1/22/2017,3886,14,1,93,65,25
126,1,2/14/2017,2208,8,2,267,202,29
127,7,11/1/2017,2654,8,2,100,78,25
128,4,12/19/2017,2432,39,2,233,172,15
129,4,9/8/2017,3677,27,2,233,172,12
130,4,9/11/2017,1122,35,2,233,172,13
131,28,7/15/2017,2208,8,1,92,64,7
132,11,10/2/2017,2905,49,1,73,36,12
133,14,1/11/2017,1938,8,1,83,70,9
134,3,10/1/2017,1586,35,1,753,301,9
135,8,9/11/2017,3721,54,1,97,67,3
136,23,4/1/2017,2276,43,1,67,46,34
137,23,8/23/2017,3057,51,2,67,46,7
138,5,4/24/2017,2771,57,2,333,259,37
139,7,4/20/2017,1714,83,1,100,78,30
140,3,4/14/2017,2638,46,1,753,301,13
141,17,9/6/2017,2495,39,1,92,36,16
142,15,12/10/2017,1503,36,1,40,38,43
143,4,3/13/2017,174,71,2,233,172,43
144,5,3/7/2017,1455,42,2,333,259,17
145,22,12/13/2017,1692,73,2,83,70,25
146,4,6/4/2017,858,25,2,233,172,39
147,25,10/14/2017,2797,12,2,67,53,26
148,14,11/30/2017,1621,62,2,83,70,27
149,10,5/5/2017,586,25,2,100,84,34
150,3,3/13/2017,1485,27,1,753,301,37
151,12,3/7/2017,1997,40,2,67,40,4
152,11,9/22/2017,2654,8,2,73,36,27
153,21,4/21/2017,2837,36,1,47,39,17
154,5,9/20/2017,2059,52,1,333,259,4
155,25,12/28/2017,534,63,1,67,53,14
156,16,1/17/2017,3529,34,2,60,54,34
157,14,4/14/2017,70,12,2,83,70,41
158,26,5/2/2017,368,25,1,65,52,5
159,13,3/11/2017,3668,99,1,52,36,3
160,24,8/15/2017,1308,50,2,91,77,12
161,25,7/6/2017,2241,31,2,67,53,35
162,18,8/14/2017,1032,43,2,83,53,30
163,13,4/11/2017,1806,20,2,52,36,39
164,2,2/15/2017,785,17,2,200,140,41
165,17,9/6/2017,3947,61,1,92,36,44
166,18,8/4/2017,1891,58,1,83,53,41
167,3,4/24/2017,191,21,1,753,301,1
168,1,4/20/2017,1786,57,2,267,202,42
169,5,9/23/2017,3968,63,1,333,259,11
170,6,6/29/2017,1387,26,2,93,65,25
171,10,11/18/2017,778,24,2,100,84,2
172,9,7/10/2017,2165,49,2,100,83,39
173,12,10/10/2017,527,2,2,67,40,43
174,5,7/2/2017,1471,96,2,333,259,23
175,7,10/30/2017,1424,18,2,100,78,15
176,16,3/10/2017,3981,75,2,60,54,5
177,8,8/28/2017,1136,62,1,97,67,27
178,8,5/2/2017,824,51,2,97,67,31
179,21,8/29/2017,3402,22,2,47,39,24
180,2,2/9/2017,2619,11,2,200,140,23
181,3,11/7/2017,2711,34,2,753,301,4
182,23,8/21/2017,2299,29,1,67,46,24
183,27,3/17/2017,59,53,1,83,66,28
184,21,11/10/2017,2889,20,1,47,39,5
185,4,8/18/2017,2921,13,2,233,172,29
186,20,6/17/2017,1083,77,1,50,40,37
187,16,1/31/2017,903,23,2,60,54,27
188,2,12/4/2017,1226,75,1,200,140,35
189,14,12/27/2017,368,25,2,83,70,12
190,16,7/15/2017,665,21,1,60,54,9
191,26,7/17/2017,3734,63,2,65,52,10
192,19,1/20/2017,1029,43,2,83,66,1
193,12,12/18/2017,3209,46,2,67,40,35
194,16,11/29/2017,3720,63,2,60,54,29
195,11,8/2/2017,3574,94,2,73,36,43
196,5,12/30/2017,1686,50,1,333,259,23
197,18,3/28/2017,186,39,2,83,53,25
198,9,10/24/2017,2669,47,2,100,83,6
199,14,2/12/2017,3484,26,1,83,70,42
200,22,2/2/2017,3384,47,1,83,70,40
201,8,9/3/2017,2311,38,2,97,67,34
202,26,5/13/2017,1409,8,1,65,52,26
203,30,11/29/2017,363,78,2,40,36,11
204,10,9/5/2017,431,18,2,100,84,8
205,6,1/22/2017,3279,18,1,93,65,14
206,24,10/1/2017,136,68,1,91,77,41
207,26,5/28/2017,3148,88,2,65,52,6
208,23,1/12/2017,1240,85,2,67,46,43
209,26,2/22/2017,1118,46,1,65,52,33
210,28,12/8/2017,3269,73,2,92,64,40
211,25,5/16/2017,3158,46,2,67,53,5
212,21,3/2/2017,3599,92,1,47,39,7
213,16,1/6/2017,3053,55,2,60,54,35
214,20,7/31/2017,2917,31,1,50,40,21
215,3,4/8/2017,203,18,1,753,301,15
216,24,1/22/2017,2474,16,1,91,77,34
217,11,10/1/2017,1823,30,2,73,36,12
218,3,5/7/2017,1527,44,1,753,301,10
219,11,12/14/2017,452,30,2,73,36,7
220,16,9/7/2017,1699,44,2,60,54,42
221,27,3/27/2017,1498,58,2,83,66,29
222,27,7/29/2017,2256,31,2,83,66,12
223,18,1/21/2017,3206,47,2,83,53,25
224,28,5/31/2017,3391,2,1,92,64,13
225,2,8/30/2017,938,93,2,200,140,45
226,18,12/14/2017,1433,7,1,83,53,6
227,10,11/4/2017,3280,72,2,100,84,2
228,10,3/5/2017,2533,41,2,100,84,21
229,6,10/18/2017,3142,14,1,93,65,32
230,20,5/20/2017,2977,12,1,50,40,45
231,23,5/14/2017,3776,71,2,67,46,29
232,27,5/12/2017,519,87,1,83,66,17
233,24,1/3/2018,2279,20,2,91,77,10
234,4,8/14/2017,860,54,2,233,172,29
235,20,6/3/2017,2095,99,1,50,40,31
236,14,8/19/2017,2175,29,1,83,70,26
237,18,12/21/2017,1436,45,2,83,53,37
238,14,7/14/2017,7,40,2,83,70,42
239,10,4/27/2017,584,17,1,100,84,16
240,13,1/15/2017,2363,23,1,52,36,45
241,15,4/22/2017,3885,64,2,40,38,30
242,3,10/12/2017,524,49,2,753,301,22
243,4,8/12/2017,2485,3,1,233,172,32
244,14,1/2/2017,3043,45,2,83,70,28
245,3,1/25/2017,1808,80,2,753,301,4
246,28,12/12/2017,3345,1,1,92,64,3
247,29,3/12/2017,3912,5,2,53,45,10
248,19,1/17/2017,3875,56,1,83,66,1
249,16,2/15/2017,444,60,2,60,54,45
250,19,10/2/2017,3359,3,2,83,66,2
251,18,4/28/2017,80,22,2,83,53,35
252,6,5/29/2017,2824,54,2,93,65,20
253,16,12/8/2017,1084,69,1,60,54,20
254,5,1/3/2017,1378,9,2,333,259,24
255,21,12/20/2017,2741,16,2,47,39,13
256,7,12/31/2017,2145,20,2,100,78,37
257,25,4/21/2017,650,15,1,67,53,2
258,22,2/8/2017,2487,55,1,83,70,2
259,4,9/20/2017,2664,50,1,233,172,3
260,4,5/6/2017,2428,11,1,233,172,18
261,30,10/14/2017,2771,57,2,40,36,42
262,29,9/4/2017,577,97,2,53,45,6
263,28,3/25/2017,2633,1,2,92,64,1
264,19,2/11/2017,821,77,1,83,66,13
265,20,5/18/2017,3331,5,1,50,40,17
266,11,7/24/2017,2332,50,1,73,36,3
267,26,3/17/2017,1049,83,2,65,52,7
268,27,8/1/2017,713,55,2,83,66,19
269,7,5/25/2017,95,52,2,100,78,27
270,7,5/26/2017,2449,13,1,100,78,43
271,14,11/23/2017,2659,16,1,83,70,29
272,21,10/26/2017,1269,34,1,47,39,9
273,26,10/10/2017,3406,47,2,65,52,28
274,25,12/23/2017,895,36,2,67,53,38
275,17,12/6/2017,2220,39,2,92,36,7
276,2,1/23/2017,403,34,2,200,140,10
277,8,9/27/2017,3486,89,2,97,67,32
278,16,6/11/2017,3508,81,1,60,54,21
279,27,5/31/2017,501,34,1,83,66,40
280,23,7/15/2017,2123,24,2,67,46,33
281,14,6/12/2017,2598,56,1,83,70,13
282,14,12/2/2017,2077,94,2,83,70,12
283,19,2/23/2017,225,15,2,83,66,15
284,3,5/30/2017,1355,53,2,753,301,31
285,13,10/14/2017,2591,39,2,52,36,2
286,30,4/29/2017,1960,47,2,40,36,36
287,13,1/10/2017,1433,7,1,52,36,8
288,4,1/10/2017,860,54,1,233,172,22
289,20,7/20/2017,478,29,2,50,40,21
290,17,2/18/2017,1147,89,2,92,36,42
291,21,5/20/2017,363,78,2,47,39,41
292,24,2/19/2017,2009,32,1,91,77,41
293,3,5/26/2017,3949,9,2,753,301,35
294,28,10/23/2017,2494,28,1,92,64,44
295,15,10/29/2017,1348,91,1,40,38,33
296,22,5/30/2017,3687,65,2,83,70,39
297,20,5/20/2017,137,74,2,50,40,11
298,30,4/24/2017,232,46,1,40,36,26
299,14,1/7/2017,3636,64,1,83,70,36
300,25,4/9/2017,2821,9,2,67,53,7
301,30,2/26/2017,575,33,1,40,36,44
302,5,11/12/2017,1649,96,2,333,259,9
303,13,10/21/2017,2204,23,2,52,36,10
304,26,8/17/2017,749,20,1,65,52,21
305,18,11/30/2017,2204,23,2,83,53,18
306,9,2/9/2017,2232,73,1,100,83,43
307,29,5/28/2017,2748,55,1,53,45,16
308,29,11/10/2017,2347,8,2,53,45,26
309,25,4/22/2017,1117,20,1,67,53,36
310,19,7/15/2017,349,91,2,83,66,24
311,6,10/31/2017,2217,61,2,93,65,5
312,22,11/10/2017,1190,96,1,83,70,42
313,4,8/5/2017,53,79,2,233,172,20
314,4,10/20/2017,3701,43,2,233,172,23
315,25,10/21/2017,1719,33,2,67,53,29
316,28,4/23/2017,2982,43,2,92,64,37
317,11,11/7/2017,3231,25,2,73,36,28
318,7,1/23/2017,179,51,2,100,78,20
319,15,3/22/2017,1112,26,2,40,38,6
320,4,7/7/2017,2343,10,1,233,172,45
321,6,5/7/2017,1439,61,2,93,65,9
322,11,1/19/2017,2331,53,1,73,36,11
323,13,1/13/2017,2421,2,2,52,36,27
324,23,3/17/2017,741,88,2,67,46,17
325,10,2/26/2017,959,13,1,100,84,45
326,9,11/20/2017,805,63,1,100,83,16
327,20,3/29/2017,1066,61,1,50,40,16
328,21,3/22/2017,2835,29,2,47,39,27
329,18,6/9/2017,1674,63,2,83,53,30
330,13,8/13/2017,1462,91,2,52,36,16
331,22,10/25/2017,946,89,2,83,70,44
332,5,5/3/2017,1258,48,1,333,259,41
333,30,11/15/2017,1317,80,1,40,36,25
334,7,2/2/2017,1217,7,2,100,78,27
335,27,10/13/2017,3425,77,1,83,66,11
336,5,11/16/2017,3223,39,2,333,259,13
337,24,6/15/2017,3336,87,1,91,77,27
338,7,8/29/2017,2576,49,2,100,78,21
339,26,2/14/2017,887,54,2,65,52,41
340,9,12/18/2017,3069,6,2,100,83,16
341,29,3/16/2017,2721,30,2,53,45,39
342,18,11/1/2017,724,34,1,83,53,4
343,3,6/13/2017,1896,83,2,753,301,17
344,27,4/21/2017,2384,9,2,83,66,24
345,12,5/8/2017,735,27,2,67,40,28
346,25,6/7/2017,3294,68,1,67,53,20
347,3,4/4/2017,54,42,2,753,301,10
348,7,5/16/2017,3312,41,1,100,78,44
349,11,3/6/2017,2630,25,2,73,36,9
350,17,12/29/2017,3275,27,1,92,36,6
351,29,11/3/2017,528,8,2,53,45,43
352,21,9/30/2017,3171,69,2,47,39,42
353,9,3/3/2017,3684,77,1,100,83,15
354,14,3/26/2017,2075,10,1,83,70,27
355,21,11/4/2017,2379,38,2,47,39,2
356,23,9/1/2017,3842,46,2,67,46,44
357,27,4/12/2017,1879,62,2,83,66,37
358,19,12/1/2017,3651,45,2,83,66,36
359,22,4/25/2017,3722,17,1,83,70,41
360,25,12/2/2017,3503,25,1,67,53,8
361,6,9/3/2017,2993,5,2,93,65,9
362,2,9/10/2017,13,56,2,200,140,9
363,2,6/19/2017,3093,52,2,200,140,26
364,2,12/5/2017,652,61,1,200,140,26
365,13,5/5/2017,4001,80,2,52,36,16
366,15,7/27/2017,725,24,1,40,38,23
367,18,5/5/2017,2240,64,1,83,53,11
368,19,7/3/2017,566,18,2,83,66,33
369,23,9/13/2017,2772,14,1,67,46,9
370,27,6/10/2017,2035,22,2,83,66,39
371,2,1/11/2017,2164,92,1,200,140,12
372,3,9/3/2017,1705,39,1,753,301,11
373,15,2/2/2017,418,22,1,40,38,16
374,29,5/2/2017,2710,6,2,53,45,45
375,23,3/7/2017,2747,25,2,67,46,11
376,18,6/17/2017,2501,49,1,83,53,45
377,18,8/20/2017,2055,70,1,83,53,9
378,21,8/31/2017,299,23,1,47,39,34
379,22,7/4/2017,2148,49,2,83,70,34
380,26,9/26/2017,2951,41,2,65,52,4
381,29,2/21/2017,574,98,2,53,45,14
382,27,11/27/2017,3847,72,1,83,66,10
383,9,8/14/2017,288,95,1,100,83,36
384,2,3/21/2017,3492,19,2,200,140,25
385,7,5/26/2017,2814,31,2,100,78,34
386,16,3/2/2017,1224,22,1,60,54,27
387,12,6/13/2017,3745,10,1,67,40,2
388,10,11/18/2017,2207,28,2,100,84,41
389,25,1/10/2017,3455,52,1,67,53,24
390,7,1/25/2017,1824,29,2,100,78,28
391,15,9/14/2017,757,10,2,40,38,16
392,25,2/1/2017,1635,80,2,67,53,11
393,3,2/4/2017,283,48,2,753,301,8
394,15,2/23/2017,3150,42,2,40,38,15
395,5,9/21/2017,180,70,1,333,259,8
396,28,3/26/2017,2654,8,2,92,64,3
397,18,6/5/2017,2691,26,1,83,53,35
398,2,7/19/2017,86,86,2,200,140,35
399,29,3/18/2017,1217,7,2,53,45,14
400,26,6/17/2017,2211,43,2,65,52,18
401,3,5/22/2017,778,24,1,753,301,25
402,19,8/22/2017,1692,73,2,83,66,37
403,11,5/26/2017,2932,7,1,73,36,14
404,18,8/6/2017,384,4,1,83,53,14
405,11,5/13/2017,2237,75,1,73,36,28
406,11,8/12/2017,3620,67,1,73,36,3
407,1,9/4/2017,3950,53,1,267,202,24
408,9,1/28/2017,3992,81,1,100,83,6
409,17,12/31/2017,1799,84,2,92,36,43
410,23,11/8/2017,1940,55,2,67,46,33
411,15,5/24/2017,1283,29,2,40,38,22
412,1,11/23/2017,2083,3,2,267,202,39
413,22,8/2/2017,1741,28,1,83,70,19
414,19,5/31/2017,1144,62,2,83,66,2
415,26,5/9/2017,1586,35,2,65,52,13
416,4,1/27/2017,3358,30,2,233,172,11
417,24,1/9/2017,2157,21,1,91,77,41
418,9,11/10/2017,1856,56,1,100,83,31
419,24,2/17/2017,3385,94,1,91,77,6
420,27,5/17/2017,155,65,2,83,66,32
421,12,7/1/2017,3046,10,1,67,40,29
422,20,5/30/2017,1126,64,2,50,40,7
423,1,3/25/2017,3822,20,1,267,202,7
424,16,4/5/2017,1313,2,2,60,54,43
425,23,3/3/2017,3425,77,2,67,46,19
426,13,2/16/2017,238,85,1,52,36,9
427,13,1/13/2017,1039,89,2,52,36,39
428,7,12/22/2017,1808,80,2,100,78,28
429,7,10/19/2017,403,34,1,100,78,24
430,8,8/12/2017,546,30,1,97,67,30
431,29,9/22/2017,2525,59,2,53,45,5
432,16,3/26/2017,2727,20,2,60,54,34
433,6,2/19/2017,1472,42,2,93,65,26
434,5,11/27/2017,1702,38,2,333,259,23
435,29,5/4/2017,2621,19,1,53,45,16
436,28,4/20/2017,139,46,1,92,64,27
437,9,5/20/2017,1536,63,1,100,83,33
438,26,4/9/2017,2593,12,2,65,52,1
439,18,9/14/2017,1949,65,1,83,53,2
440,1,11/25/2017,1025,77,2,267,202,43
441,28,10/18/2017,2009,32,1,92,64,3
442,29,7/22/2017,361,87,1,53,45,10
443,2,2/27/2017,1132,68,2,200,140,3
444,7,3/24/2017,1640,82,1,100,78,12
445,15,4/28/2017,11,11,2,40,38,14
446,22,3/8/2017,1024,41,1,83,70,35
447,13,3/17/2017,2608,31,1,52,36,10
448,16,3/19/2017,2880,53,2,60,54,21
449,15,4/28/2017,385,84,1,40,38,40
450,11,2/22/2017,2492,33,1,73,36,32
451,14,10/9/2017,2299,29,2,83,70,14
452,1,6/28/2017,3078,28,2,267,202,5
453,5,3/13/2017,2013,96,1,333,259,36
454,18,11/5/2017,3006,20,2,83,53,38
455,28,9/17/2017,1723,30,1,92,64,40
456,12,9/11/2017,2755,58,2,67,40,1
457,19,8/30/2017,3623,35,2,83,66,40
458,3,6/13/2017,2597,35,2,753,301,1
459,27,1/11/2017,2545,45,2,83,66,18
460,2,12/22/2017,2623,22,2,200,140,7
461,7,4/6/2017,1969,97,1,100,78,31
462,28,10/9/2017,3564,87,2,92,64,18
463,6,11/30/2017,944,14,1,93,65,20
464,20,5/29/2017,1423,97,2,50,40,23
465,24,5/30/2017,3825,100,1,91,77,6
466,14,2/13/2017,156,4,2,83,70,16
467,14,2/23/2017,3212,65,1,83,70,39
468,11,11/28/2017,229,25,2,73,36,26
469,20,1/14/2017,2021,20,2,50,40,13
470,19,10/27/2017,2865,11,2,83,66,35
471,28,4/9/2017,1645,65,1,92,64,40
472,29,4/5/2017,532,58,1,53,45,27
473,24,10/9/2017,2382,18,1,91,77,24
474,21,5/8/2017,1056,55,2,47,39,23
475,7,6/9/2017,1338,21,1,100,78,32
476,29,3/2/2017,748,77,2,53,45,15
477,10,8/7/2017,2949,25,2,100,84,35
478,12,2/11/2017,1422,63,2,67,40,42
479,28,10/11/2017,464,73,1,92,64,6
480,8,6/10/2017,3274,11,2,97,67,44
481,3,12/11/2017,2203,18,2,753,301,21
482,24,11/2/2017,2853,50,2,91,77,14
483,2,9/2/2017,3823,78,2,200,140,38
484,11,5/13/2017,3789,13,2,73,36,10
485,4,6/3/2017,3239,21,1,233,172,25
486,9,10/4/2017,2962,26,1,100,83,19
487,24,7/8/2017,3440,15,2,91,77,40
488,3,9/13/2017,1984,46,1,753,301,43
489,2,4/21/2017,1256,43,2,200,140,36
490,22,7/27/2017,2781,8,1,83,70,2
491,29,7/12/2017,315,93,2,53,45,44
492,2,9/8/2017,849,12,2,200,140,21
493,9,3/20/2017,128,14,2,100,83,36
494,5,6/18/2017,980,83,2,333,259,27
495,13,10/30/2017,3217,72,1,52,36,15
496,6,7/18/2017,3278,20,1,93,65,3
497,3,12/27/2017,1970,5,2,753,301,37
498,18,12/20/2017,2475,22,1,83,53,1
499,19,4/18/2017,2650,25,1,83,66,41
500,14,3/21/2017,1218,6,2,83,70,40
501,14,1/12/2017,716,92,1,83,70,43
502,12,6/20/2017,1577,55,1,67,40,25
503,17,2/19/2017,967,88,2,92,36,40
504,6,1/13/2017,3454,35,2,93,65,45
505,6,2/16/2017,2885,25,1,93,65,10
506,15,6/1/2017,130,64,1,40,38,29
507,9,1/2/2018,3182,94,2,100,83,27
508,4,9/15/2017,17,8,1,233,172,18
509,12,10/9/2017,856,54,2,67,40,42
510,26,7/13/2017,1592,19,1,65,52,32
511,18,4/13/2017,3736,25,2,83,53,2
512,27,9/9/2017,1558,88,2,83,66,32
513,16,4/16/2017,125,61,1,60,54,18
514,17,12/7/2017,3807,71,1,92,36,2
515,15,3/27/2017,732,82,2,40,38,17
516,2,7/12/2017,2569,9,2,200,140,8
517,23,6/11/2017,3908,61,1,67,46,31
518,12,1/3/2017,131,92,1,67,40,40
519,17,1/13/2017,750,39,1,92,36,23
520,20,10/13/2017,3046,10,2,50,40,3
521,10,7/24/2017,602,85,1,100,84,20
522,3,3/3/2017,202,49,1,753,301,9
523,19,4/2/2017,3864,73,1,83,66,37
524,14,2/10/2017,1508,48,1,83,70,30
525,20,8/1/2017,2902,11,2,50,40,14
526,17,11/22/2017,3366,16,1,92,36,11
527,7,12/10/2017,336,77,1,100,78,40
528,17,2/23/2017,1943,7,2,92,36,1
529,5,9/15/2017,3117,6,2,333,259,23
530,1,10/29/2017,1429,14,1,267,202,9
531,4,6/2/2017,2970,19,2,233,172,31
532,17,4/21/2017,3714,33,1,92,36,41
533,14,10/29/2017,2958,21,1,83,70,13
534,20,7/3/2017,30,83,1,50,40,44
535,29,7/7/2017,2819,47,1,53,45,6
536,16,8/9/2017,952,31,2,60,54,6
537,5,8/23/2017,3238,6,1,333,259,12
538,15,8/17/2017,1040,43,2,40,38,19
539,17,4/27/2017,3141,71,2,92,36,3
540,27,10/1/2017,2063,17,2,83,66,41
541,7,3/3/2017,1829,55,1,100,78,17
542,17,5/18/2017,3985,54,2,92,36,10
543,27,5/18/2017,179,51,2,83,66,18
544,2,1/20/2017,3419,16,2,200,140,1
545,27,3/12/2017,2929,25,2,83,66,31
546,20,7/14/2017,584,17,1,50,40,5
547,8,9/3/2017,1236,57,2,97,67,38
548,13,8/28/2017,469,64,1,52,36,28
549,20,12/2/2017,2132,66,2,50,40,43
550,16,11/6/2017,252,63,1,60,54,10
551,4,12/26/2017,104,71,1,233,172,37
552,12,1/11/2017,601,16,1,67,40,38
553,21,7/5/2017,3433,94,1,47,39,29
554,29,9/24/2017,2333,52,1,53,45,17
555,4,3/19/2017,3370,23,1,233,172,11
556,7,4/26/2017,826,15,2,100,78,10
557,7,11/7/2017,888,10,2,100,78,32
558,29,10/5/2017,226,82,2,53,45,24
559,15,7/2/2017,983,17,1,40,38,7
560,25,10/6/2017,1462,91,2,67,53,40
561,6,11/10/2017,2290,58,2,93,65,1
562,20,12/24/2017,358,3,1,50,40,20
563,17,8/6/2017,2754,58,2,92,36,23
564,13,9/3/2017,3800,68,2,52,36,45
565,10,3/29/2017,1346,61,2,100,84,8
566,22,6/14/2017,194,64,2,83,70,44
567,4,6/4/2017,1810,58,1,233,172,28
568,22,7/27/2017,1671,16,2,83,70,2
569,4,5/11/2017,58,24,1,233,172,28
570,15,4/6/2017,1109,21,2,40,38,44
571,26,11/30/2017,3955,30,1,65,52,41
572,30,2/3/2017,1614,21,1,40,36,9
573,17,4/23/2017,2642,16,2,92,36,31
574,9,7/1/2017,2526,36,2,100,83,37
575,21,1/5/2017,3055,36,1,47,39,43
576,26,1/30/2017,3617,30,1,65,52,29
577,6,4/19/2017,2747,25,2,93,65,6
578,3,1/12/2017,1151,24,2,753,301,15
579,25,5/14/2017,2450,24,2,67,53,40
580,24,6/4/2017,2449,13,2,91,77,20
581,27,8/30/2017,2784,36,2,83,66,39
582,19,8/18/2017,2681,45,2,83,66,36
583,20,8/21/2017,2319,40,2,50,40,37
584,9,5/11/2017,148,41,2,100,83,8
585,5,7/15/2017,3164,91,1,333,259,43
586,11,5/5/2017,739,46,2,73,36,25
