Date,Is Today,Month Year,Month Year sort,Month Rank,Work Day,Work Date,Work Date With WE,Work Day Rank,Work Date with WE Rank,Work Day This month,Week Start With Year,Week Start Date,Last working date,Qtr Year,Qtr Year Sort,Year
1/29/2018 0:00,1/29/2018,Jan-2018,201801,29,1,1/29/2018 0:00,1/29/2018 0:00,22,21,21,5,1/29/2018 0:00,1/26/2018 0:00,Q12018,20181,2018
1/30/2018 0:00,1/30/2018,Jan-2018,201801,29,1,1/30/2018 0:00,1/30/2018 0:00,23,22,22,5,1/29/2018 0:00,1/29/2018 0:00,Q12018,20181,2018
1/31/2018 0:00,1/31/2018,Jan-2018,201801,29,1,1/31/2018 0:00,1/31/2018 0:00,24,23,23,5,1/29/2018 0:00,1/30/2018 0:00,Q12018,20181,2018
2/1/2018 0:00,2/1/2018,Feb-2018,201802,28,1,2/1/2018 0:00,2/1/2018 0:00,25,24,1,5,1/29/2018 0:00,1/31/2018 0:00,Q12018,20181,2018
2/2/2018 0:00,2/2/2018,Feb-2018,201802,28,1,2/2/2018 0:00,2/2/2018 0:00,26,25,2,5,1/29/2018 0:00,2/1/2018 0:00,Q12018,20181,2018
2/3/2018 0:00,2/3/2018,Feb-2018,201802,28,0,,2/2/2018 0:00,,25,,5,1/29/2018 0:00,,Q12018,20181,2018
2/4/2018 0:00,2/4/2018,Feb-2018,201802,28,0,,2/2/2018 0:00,,25,,5,1/29/2018 0:00,,Q12018,20181,2018
2/5/2018 0:00,2/5/2018,Feb-2018,201802,28,1,2/5/2018 0:00,2/5/2018 0:00,27,26,3,6,2/5/2018 0:00,2/2/2018 0:00,Q12018,20181,2018
2/6/2018 0:00,2/6/2018,Feb-2018,201802,28,1,2/6/2018 0:00,2/6/2018 0:00,28,27,4,6,2/5/2018 0:00,2/5/2018 0:00,Q12018,20181,2018
2/7/2018 0:00,2/7/2018,Feb-2018,201802,28,1,2/7/2018 0:00,2/7/2018 0:00,29,28,5,6,2/5/2018 0:00,2/6/2018 0:00,Q12018,20181,2018
2/8/2018 0:00,2/8/2018,Feb-2018,201802,28,1,2/8/2018 0:00,2/8/2018 0:00,30,29,6,6,2/5/2018 0:00,2/7/2018 0:00,Q12018,20181,2018
2/9/2018 0:00,2/9/2018,Feb-2018,201802,28,1,2/9/2018 0:00,2/9/2018 0:00,31,30,7,6,2/5/2018 0:00,2/8/2018 0:00,Q12018,20181,2018
2/10/2018 0:00,2/10/2018,Feb-2018,201802,28,0,,2/9/2018 0:00,,30,,6,2/5/2018 0:00,,Q12018,20181,2018
2/11/2018 0:00,2/11/2018,Feb-2018,201802,28,0,,2/9/2018 0:00,,30,,6,2/5/2018 0:00,,Q12018,20181,2018
2/12/2018 0:00,2/12/2018,Feb-2018,201802,28,1,2/12/2018 0:00,2/12/2018 0:00,32,31,8,7,2/12/2018 0:00,2/9/2018 0:00,Q12018,20181,2018
2/13/2018 0:00,2/13/2018,Feb-2018,201802,28,1,2/13/2018 0:00,2/13/2018 0:00,33,32,9,7,2/12/2018 0:00,2/12/2018 0:00,Q12018,20181,2018
2/14/2018 0:00,2/14/2018,Feb-2018,201802,28,1,2/14/2018 0:00,2/14/2018 0:00,34,33,10,7,2/12/2018 0:00,2/13/2018 0:00,Q12018,20181,2018
2/15/2018 0:00,2/15/2018,Feb-2018,201802,28,1,2/15/2018 0:00,2/15/2018 0:00,35,34,11,7,2/12/2018 0:00,2/14/2018 0:00,Q12018,20181,2018
2/16/2018 0:00,2/16/2018,Feb-2018,201802,28,1,2/16/2018 0:00,2/16/2018 0:00,36,35,12,7,2/12/2018 0:00,2/15/2018 0:00,Q12018,20181,2018
2/17/2018 0:00,2/17/2018,Feb-2018,201802,28,0,,2/16/2018 0:00,,35,,7,2/12/2018 0:00,,Q12018,20181,2018
2/18/2018 0:00,2/18/2018,Feb-2018,201802,28,0,,2/16/2018 0:00,,35,,7,2/12/2018 0:00,,Q12018,20181,2018
2/19/2018 0:00,2/19/2018,Feb-2018,201802,28,1,2/19/2018 0:00,2/19/2018 0:00,37,36,13,8,2/19/2018 0:00,2/16/2018 0:00,Q12018,20181,2018
2/20/2018 0:00,2/20/2018,Feb-2018,201802,28,1,2/20/2018 0:00,2/20/2018 0:00,38,37,14,8,2/19/2018 0:00,2/19/2018 0:00,Q12018,20181,2018
2/21/2018 0:00,2/21/2018,Feb-2018,201802,28,1,2/21/2018 0:00,2/21/2018 0:00,39,38,15,8,2/19/2018 0:00,2/20/2018 0:00,Q12018,20181,2018
2/22/2018 0:00,2/22/2018,Feb-2018,201802,28,1,2/22/2018 0:00,2/22/2018 0:00,40,39,16,8,2/19/2018 0:00,2/21/2018 0:00,Q12018,20181,2018
2/23/2018 0:00,2/23/2018,Feb-2018,201802,28,1,2/23/2018 0:00,2/23/2018 0:00,41,40,17,8,2/19/2018 0:00,2/22/2018 0:00,Q12018,20181,2018
2/24/2018 0:00,2/24/2018,Feb-2018,201802,28,0,,2/23/2018 0:00,,40,,8,2/19/2018 0:00,,Q12018,20181,2018
2/25/2018 0:00,2/25/2018,Feb-2018,201802,28,0,,2/23/2018 0:00,,40,,8,2/19/2018 0:00,,Q12018,20181,2018
2/26/2018 0:00,2/26/2018,Feb-2018,201802,28,1,2/26/2018 0:00,2/26/2018 0:00,42,41,18,9,2/26/2018 0:00,2/23/2018 0:00,Q12018,20181,2018
2/27/2018 0:00,2/27/2018,Feb-2018,201802,28,1,2/27/2018 0:00,2/27/2018 0:00,43,42,19,9,2/26/2018 0:00,2/26/2018 0:00,Q12018,20181,2018
2/28/2018 0:00,2/28/2018,Feb-2018,201802,28,1,2/28/2018 0:00,2/28/2018 0:00,44,43,20,9,2/26/2018 0:00,2/27/2018 0:00,Q12018,20181,2018
3/1/2018 0:00,3/1/2018,Mar-2018,201803,27,1,3/1/2018 0:00,3/1/2018 0:00,45,44,1,9,2/26/2018 0:00,2/28/2018 0:00,Q12018,20181,2018
3/2/2018 0:00,3/2/2018,Mar-2018,201803,27,1,3/2/2018 0:00,3/2/2018 0:00,46,45,2,9,2/26/2018 0:00,3/1/2018 0:00,Q12018,20181,2018
3/3/2018 0:00,3/3/2018,Mar-2018,201803,27,0,,3/2/2018 0:00,,45,,9,2/26/2018 0:00,,Q12018,20181,2018
3/4/2018 0:00,3/4/2018,Mar-2018,201803,27,0,,3/2/2018 0:00,,45,,9,2/26/2018 0:00,,Q12018,20181,2018
3/5/2018 0:00,3/5/2018,Mar-2018,201803,27,1,3/5/2018 0:00,3/5/2018 0:00,47,46,3,10,3/5/2018 0:00,3/2/2018 0:00,Q12018,20181,2018
3/6/2018 0:00,3/6/2018,Mar-2018,201803,27,1,3/6/2018 0:00,3/6/2018 0:00,48,47,4,10,3/5/2018 0:00,3/5/2018 0:00,Q12018,20181,2018
3/7/2018 0:00,3/7/2018,Mar-2018,201803,27,1,3/7/2018 0:00,3/7/2018 0:00,49,48,5,10,3/5/2018 0:00,3/6/2018 0:00,Q12018,20181,2018
3/8/2018 0:00,3/8/2018,Mar-2018,201803,27,1,3/8/2018 0:00,3/8/2018 0:00,50,49,6,10,3/5/2018 0:00,3/7/2018 0:00,Q12018,20181,2018
3/9/2018 0:00,3/9/2018,Mar-2018,201803,27,1,3/9/2018 0:00,3/9/2018 0:00,51,50,7,10,3/5/2018 0:00,3/8/2018 0:00,Q12018,20181,2018
3/10/2018 0:00,3/10/2018,Mar-2018,201803,27,0,,3/9/2018 0:00,,50,,10,3/5/2018 0:00,,Q12018,20181,2018
3/11/2018 0:00,3/11/2018,Mar-2018,201803,27,0,,3/9/2018 0:00,,50,,10,3/5/2018 0:00,,Q12018,20181,2018
3/12/2018 0:00,3/12/2018,Mar-2018,201803,27,1,3/12/2018 0:00,3/12/2018 0:00,52,51,8,11,3/12/2018 0:00,3/9/2018 0:00,Q12018,20181,2018
3/13/2018 0:00,3/13/2018,Mar-2018,201803,27,1,3/13/2018 0:00,3/13/2018 0:00,53,52,9,11,3/12/2018 0:00,3/12/2018 0:00,Q12018,20181,2018
3/14/2018 0:00,3/14/2018,Mar-2018,201803,27,1,3/14/2018 0:00,3/14/2018 0:00,54,53,10,11,3/12/2018 0:00,3/13/2018 0:00,Q12018,20181,2018
3/15/2018 0:00,3/15/2018,Mar-2018,201803,27,1,3/15/2018 0:00,3/15/2018 0:00,55,54,11,11,3/12/2018 0:00,3/14/2018 0:00,Q12018,20181,2018
3/16/2018 0:00,3/16/2018,Mar-2018,201803,27,1,3/16/2018 0:00,3/16/2018 0:00,56,55,12,11,3/12/2018 0:00,3/15/2018 0:00,Q12018,20181,2018
3/17/2018 0:00,3/17/2018,Mar-2018,201803,27,0,,3/16/2018 0:00,,55,,11,3/12/2018 0:00,,Q12018,20181,2018
3/18/2018 0:00,3/18/2018,Mar-2018,201803,27,0,,3/16/2018 0:00,,55,,11,3/12/2018 0:00,,Q12018,20181,2018
3/19/2018 0:00,3/19/2018,Mar-2018,201803,27,1,3/19/2018 0:00,3/19/2018 0:00,57,56,13,12,3/19/2018 0:00,3/16/2018 0:00,Q12018,20181,2018
3/20/2018 0:00,3/20/2018,Mar-2018,201803,27,1,3/20/2018 0:00,3/20/2018 0:00,58,57,14,12,3/19/2018 0:00,3/19/2018 0:00,Q12018,20181,2018
3/21/2018 0:00,3/21/2018,Mar-2018,201803,27,1,3/21/2018 0:00,3/21/2018 0:00,59,58,15,12,3/19/2018 0:00,3/20/2018 0:00,Q12018,20181,2018
3/22/2018 0:00,3/22/2018,Mar-2018,201803,27,1,3/22/2018 0:00,3/22/2018 0:00,60,59,16,12,3/19/2018 0:00,3/21/2018 0:00,Q12018,20181,2018
3/23/2018 0:00,3/23/2018,Mar-2018,201803,27,1,3/23/2018 0:00,3/23/2018 0:00,61,60,17,12,3/19/2018 0:00,3/22/2018 0:00,Q12018,20181,2018
3/24/2018 0:00,3/24/2018,Mar-2018,201803,27,0,,3/23/2018 0:00,,60,,12,3/19/2018 0:00,,Q12018,20181,2018
3/25/2018 0:00,3/25/2018,Mar-2018,201803,27,0,,3/23/2018 0:00,,60,,12,3/19/2018 0:00,,Q12018,20181,2018
3/26/2018 0:00,3/26/2018,Mar-2018,201803,27,1,3/26/2018 0:00,3/26/2018 0:00,62,61,18,13,3/26/2018 0:00,3/23/2018 0:00,Q12018,20181,2018
3/27/2018 0:00,3/27/2018,Mar-2018,201803,27,1,3/27/2018 0:00,3/27/2018 0:00,63,62,19,13,3/26/2018 0:00,3/26/2018 0:00,Q12018,20181,2018
3/28/2018 0:00,3/28/2018,Mar-2018,201803,27,1,3/28/2018 0:00,3/28/2018 0:00,64,63,20,13,3/26/2018 0:00,3/27/2018 0:00,Q12018,20181,2018
3/29/2018 0:00,3/29/2018,Mar-2018,201803,27,1,3/29/2018 0:00,3/29/2018 0:00,65,64,21,13,3/26/2018 0:00,3/28/2018 0:00,Q12018,20181,2018
3/30/2018 0:00,3/30/2018,Mar-2018,201803,27,1,3/30/2018 0:00,3/30/2018 0:00,66,65,22,13,3/26/2018 0:00,3/29/2018 0:00,Q12018,20181,2018
3/31/2018 0:00,3/31/2018,Mar-2018,201803,27,0,,3/30/2018 0:00,,65,,13,3/26/2018 0:00,,Q12018,20181,2018
4/1/2018 0:00,4/1/2018,Apr-2018,201804,26,0,,3/30/2018 0:00,,65,,13,3/26/2018 0:00,,Q22018,20182,2018
4/2/2018 0:00,4/2/2018,Apr-2018,201804,26,1,4/2/2018 0:00,4/2/2018 0:00,67,66,1,14,4/2/2018 0:00,3/30/2018 0:00,Q22018,20182,2018
4/3/2018 0:00,4/3/2018,Apr-2018,201804,26,1,4/3/2018 0:00,4/3/2018 0:00,68,67,2,14,4/2/2018 0:00,4/2/2018 0:00,Q22018,20182,2018
4/4/2018 0:00,4/4/2018,Apr-2018,201804,26,1,4/4/2018 0:00,4/4/2018 0:00,69,68,3,14,4/2/2018 0:00,4/3/2018 0:00,Q22018,20182,2018
4/5/2018 0:00,4/5/2018,Apr-2018,201804,26,1,4/5/2018 0:00,4/5/2018 0:00,70,69,4,14,4/2/2018 0:00,4/4/2018 0:00,Q22018,20182,2018
4/6/2018 0:00,4/6/2018,Apr-2018,201804,26,1,4/6/2018 0:00,4/6/2018 0:00,71,70,5,14,4/2/2018 0:00,4/5/2018 0:00,Q22018,20182,2018
4/7/2018 0:00,4/7/2018,Apr-2018,201804,26,0,,4/6/2018 0:00,,70,,14,4/2/2018 0:00,,Q22018,20182,2018
4/8/2018 0:00,4/8/2018,Apr-2018,201804,26,0,,4/6/2018 0:00,,70,,14,4/2/2018 0:00,,Q22018,20182,2018
4/9/2018 0:00,4/9/2018,Apr-2018,201804,26,1,4/9/2018 0:00,4/9/2018 0:00,72,71,6,15,4/9/2018 0:00,4/6/2018 0:00,Q22018,20182,2018
4/10/2018 0:00,4/10/2018,Apr-2018,201804,26,1,4/10/2018 0:00,4/10/2018 0:00,73,72,7,15,4/9/2018 0:00,4/9/2018 0:00,Q22018,20182,2018
4/11/2018 0:00,4/11/2018,Apr-2018,201804,26,1,4/11/2018 0:00,4/11/2018 0:00,74,73,8,15,4/9/2018 0:00,4/10/2018 0:00,Q22018,20182,2018
4/12/2018 0:00,4/12/2018,Apr-2018,201804,26,1,4/12/2018 0:00,4/12/2018 0:00,75,74,9,15,4/9/2018 0:00,4/11/2018 0:00,Q22018,20182,2018
4/13/2018 0:00,4/13/2018,Apr-2018,201804,26,1,4/13/2018 0:00,4/13/2018 0:00,76,75,10,15,4/9/2018 0:00,4/12/2018 0:00,Q22018,20182,2018
4/14/2018 0:00,4/14/2018,Apr-2018,201804,26,0,,4/13/2018 0:00,,75,,15,4/9/2018 0:00,,Q22018,20182,2018
4/15/2018 0:00,4/15/2018,Apr-2018,201804,26,0,,4/13/2018 0:00,,75,,15,4/9/2018 0:00,,Q22018,20182,2018
4/16/2018 0:00,4/16/2018,Apr-2018,201804,26,1,4/16/2018 0:00,4/16/2018 0:00,77,76,11,16,4/16/2018 0:00,4/13/2018 0:00,Q22018,20182,2018
4/17/2018 0:00,4/17/2018,Apr-2018,201804,26,1,4/17/2018 0:00,4/17/2018 0:00,78,77,12,16,4/16/2018 0:00,4/16/2018 0:00,Q22018,20182,2018
4/18/2018 0:00,4/18/2018,Apr-2018,201804,26,1,4/18/2018 0:00,4/18/2018 0:00,79,78,13,16,4/16/2018 0:00,4/17/2018 0:00,Q22018,20182,2018
4/19/2018 0:00,4/19/2018,Apr-2018,201804,26,1,4/19/2018 0:00,4/19/2018 0:00,80,79,14,16,4/16/2018 0:00,4/18/2018 0:00,Q22018,20182,2018
4/20/2018 0:00,4/20/2018,Apr-2018,201804,26,1,4/20/2018 0:00,4/20/2018 0:00,81,80,15,16,4/16/2018 0:00,4/19/2018 0:00,Q22018,20182,2018
4/21/2018 0:00,4/21/2018,Apr-2018,201804,26,0,,4/20/2018 0:00,,80,,16,4/16/2018 0:00,,Q22018,20182,2018
4/22/2018 0:00,4/22/2018,Apr-2018,201804,26,0,,4/20/2018 0:00,,80,,16,4/16/2018 0:00,,Q22018,20182,2018
4/23/2018 0:00,4/23/2018,Apr-2018,201804,26,1,4/23/2018 0:00,4/23/2018 0:00,82,81,16,17,4/23/2018 0:00,4/20/2018 0:00,Q22018,20182,2018
4/24/2018 0:00,4/24/2018,Apr-2018,201804,26,1,4/24/2018 0:00,4/24/2018 0:00,83,82,17,17,4/23/2018 0:00,4/23/2018 0:00,Q22018,20182,2018
4/25/2018 0:00,4/25/2018,Apr-2018,201804,26,1,4/25/2018 0:00,4/25/2018 0:00,84,83,18,17,4/23/2018 0:00,4/24/2018 0:00,Q22018,20182,2018
4/26/2018 0:00,4/26/2018,Apr-2018,201804,26,1,4/26/2018 0:00,4/26/2018 0:00,85,84,19,17,4/23/2018 0:00,4/25/2018 0:00,Q22018,20182,2018
4/27/2018 0:00,4/27/2018,Apr-2018,201804,26,1,4/27/2018 0:00,4/27/2018 0:00,86,85,20,17,4/23/2018 0:00,4/26/2018 0:00,Q22018,20182,2018
4/28/2018 0:00,4/28/2018,Apr-2018,201804,26,0,,4/27/2018 0:00,,85,,17,4/23/2018 0:00,,Q22018,20182,2018
4/29/2018 0:00,4/29/2018,Apr-2018,201804,26,0,,4/27/2018 0:00,,85,,17,4/23/2018 0:00,,Q22018,20182,2018
4/30/2018 0:00,4/30/2018,Apr-2018,201804,26,1,4/30/2018 0:00,4/30/2018 0:00,87,86,21,18,4/30/2018 0:00,4/27/2018 0:00,Q22018,20182,2018
5/1/2018 0:00,5/1/2018,May-2018,201805,25,1,5/1/2018 0:00,5/1/2018 0:00,88,87,1,18,4/30/2018 0:00,4/30/2018 0:00,Q22018,20182,2018
5/2/2018 0:00,5/2/2018,May-2018,201805,25,1,5/2/2018 0:00,5/2/2018 0:00,89,88,2,18,4/30/2018 0:00,5/1/2018 0:00,Q22018,20182,2018
5/3/2018 0:00,5/3/2018,May-2018,201805,25,1,5/3/2018 0:00,5/3/2018 0:00,90,89,3,18,4/30/2018 0:00,5/2/2018 0:00,Q22018,20182,2018
5/4/2018 0:00,5/4/2018,May-2018,201805,25,1,5/4/2018 0:00,5/4/2018 0:00,91,90,4,18,4/30/2018 0:00,5/3/2018 0:00,Q22018,20182,2018
5/5/2018 0:00,5/5/2018,May-2018,201805,25,0,,5/4/2018 0:00,,90,,18,4/30/2018 0:00,,Q22018,20182,2018
5/6/2018 0:00,5/6/2018,May-2018,201805,25,0,,5/4/2018 0:00,,90,,18,4/30/2018 0:00,,Q22018,20182,2018
5/7/2018 0:00,5/7/2018,May-2018,201805,25,1,5/7/2018 0:00,5/7/2018 0:00,92,91,5,19,5/7/2018 0:00,5/4/2018 0:00,Q22018,20182,2018
5/8/2018 0:00,5/8/2018,May-2018,201805,25,1,5/8/2018 0:00,5/8/2018 0:00,93,92,6,19,5/7/2018 0:00,5/7/2018 0:00,Q22018,20182,2018
5/9/2018 0:00,5/9/2018,May-2018,201805,25,1,5/9/2018 0:00,5/9/2018 0:00,94,93,7,19,5/7/2018 0:00,5/8/2018 0:00,Q22018,20182,2018
5/10/2018 0:00,5/10/2018,May-2018,201805,25,1,5/10/2018 0:00,5/10/2018 0:00,95,94,8,19,5/7/2018 0:00,5/9/2018 0:00,Q22018,20182,2018
5/11/2018 0:00,5/11/2018,May-2018,201805,25,1,5/11/2018 0:00,5/11/2018 0:00,96,95,9,19,5/7/2018 0:00,5/10/2018 0:00,Q22018,20182,2018
5/12/2018 0:00,5/12/2018,May-2018,201805,25,0,,5/11/2018 0:00,,95,,19,5/7/2018 0:00,,Q22018,20182,2018
5/13/2018 0:00,5/13/2018,May-2018,201805,25,0,,5/11/2018 0:00,,95,,19,5/7/2018 0:00,,Q22018,20182,2018
5/14/2018 0:00,5/14/2018,May-2018,201805,25,1,5/14/2018 0:00,5/14/2018 0:00,97,96,10,20,5/14/2018 0:00,5/11/2018 0:00,Q22018,20182,2018
5/15/2018 0:00,5/15/2018,May-2018,201805,25,1,5/15/2018 0:00,5/15/2018 0:00,98,97,11,20,5/14/2018 0:00,5/14/2018 0:00,Q22018,20182,2018
5/16/2018 0:00,5/16/2018,May-2018,201805,25,1,5/16/2018 0:00,5/16/2018 0:00,99,98,12,20,5/14/2018 0:00,5/15/2018 0:00,Q22018,20182,2018
5/17/2018 0:00,5/17/2018,May-2018,201805,25,1,5/17/2018 0:00,5/17/2018 0:00,100,99,13,20,5/14/2018 0:00,5/16/2018 0:00,Q22018,20182,2018
5/18/2018 0:00,5/18/2018,May-2018,201805,25,1,5/18/2018 0:00,5/18/2018 0:00,101,100,14,20,5/14/2018 0:00,5/17/2018 0:00,Q22018,20182,2018
5/19/2018 0:00,5/19/2018,May-2018,201805,25,0,,5/18/2018 0:00,,100,,20,5/14/2018 0:00,,Q22018,20182,2018
5/20/2018 0:00,5/20/2018,May-2018,201805,25,0,,5/18/2018 0:00,,100,,20,5/14/2018 0:00,,Q22018,20182,2018
5/21/2018 0:00,5/21/2018,May-2018,201805,25,1,5/21/2018 0:00,5/21/2018 0:00,102,101,15,21,5/21/2018 0:00,5/18/2018 0:00,Q22018,20182,2018
5/22/2018 0:00,5/22/2018,May-2018,201805,25,1,5/22/2018 0:00,5/22/2018 0:00,103,102,16,21,5/21/2018 0:00,5/21/2018 0:00,Q22018,20182,2018
5/23/2018 0:00,5/23/2018,May-2018,201805,25,1,5/23/2018 0:00,5/23/2018 0:00,104,103,17,21,5/21/2018 0:00,5/22/2018 0:00,Q22018,20182,2018
5/24/2018 0:00,5/24/2018,May-2018,201805,25,1,5/24/2018 0:00,5/24/2018 0:00,105,104,18,21,5/21/2018 0:00,5/23/2018 0:00,Q22018,20182,2018
5/25/2018 0:00,5/25/2018,May-2018,201805,25,1,5/25/2018 0:00,5/25/2018 0:00,106,105,19,21,5/21/2018 0:00,5/24/2018 0:00,Q22018,20182,2018
5/26/2018 0:00,5/26/2018,May-2018,201805,25,0,,5/25/2018 0:00,,105,,21,5/21/2018 0:00,,Q22018,20182,2018
5/27/2018 0:00,5/27/2018,May-2018,201805,25,0,,5/25/2018 0:00,,105,,21,5/21/2018 0:00,,Q22018,20182,2018
5/28/2018 0:00,5/28/2018,May-2018,201805,25,1,5/28/2018 0:00,5/28/2018 0:00,107,106,20,22,5/28/2018 0:00,5/25/2018 0:00,Q22018,20182,2018
5/29/2018 0:00,5/29/2018,May-2018,201805,25,1,5/29/2018 0:00,5/29/2018 0:00,108,107,21,22,5/28/2018 0:00,5/28/2018 0:00,Q22018,20182,2018
5/30/2018 0:00,5/30/2018,May-2018,201805,25,1,5/30/2018 0:00,5/30/2018 0:00,109,108,22,22,5/28/2018 0:00,5/29/2018 0:00,Q22018,20182,2018
5/31/2018 0:00,5/31/2018,May-2018,201805,25,1,5/31/2018 0:00,5/31/2018 0:00,110,109,23,22,5/28/2018 0:00,5/30/2018 0:00,Q22018,20182,2018
6/1/2018 0:00,6/1/2018,Jun-2018,201806,24,1,6/1/2018 0:00,6/1/2018 0:00,111,110,1,22,5/28/2018 0:00,5/31/2018 0:00,Q22018,20182,2018
6/2/2018 0:00,6/2/2018,Jun-2018,201806,24,0,,6/1/2018 0:00,,110,,22,5/28/2018 0:00,,Q22018,20182,2018
6/3/2018 0:00,6/3/2018,Jun-2018,201806,24,0,,6/1/2018 0:00,,110,,22,5/28/2018 0:00,,Q22018,20182,2018
6/4/2018 0:00,6/4/2018,Jun-2018,201806,24,1,6/4/2018 0:00,6/4/2018 0:00,112,111,2,23,6/4/2018 0:00,6/1/2018 0:00,Q22018,20182,2018
6/5/2018 0:00,6/5/2018,Jun-2018,201806,24,1,6/5/2018 0:00,6/5/2018 0:00,113,112,3,23,6/4/2018 0:00,6/4/2018 0:00,Q22018,20182,2018
