Order No,Item ID,Order Date,Deilvery Date,Customer Id,City Id
122,1,5/3/2017,5/7/2017,1262,62
123,26,10/29/2017,11/5/2017,2029,92
124,10,1/2/2018,1/3/2018,220,94
125,6,1/22/2017,1/27/2017,3886,14
126,1,2/14/2017,2/17/2017,2208,8
127,7,11/1/2017,11/3/2017,2654,8
128,4,12/19/2017,12/28/2017,2432,39
129,4,9/8/2017,9/15/2017,3677,27
130,4,9/11/2017,9/18/2017,1122,35
131,28,7/15/2017,7/17/2017,2208,8
132,11,10/2/2017,10/8/2017,2905,49
133,14,1/11/2017,1/12/2017,1938,8
134,3,10/1/2017,10/5/2017,1586,35
135,8,9/11/2017,9/17/2017,3721,54
136,23,4/1/2017,4/7/2017,2276,43
137,23,8/23/2017,8/29/2017,3057,51
138,5,4/24/2017,5/1/2017,2771,57
139,7,4/20/2017,4/20/2017,1714,83
140,3,4/14/2017,4/20/2017,2638,46
141,17,9/6/2017,9/7/2017,2495,39
142,15,12/10/2017,12/15/2017,1503,36
143,4,3/13/2017,3/17/2017,174,71
144,5,3/7/2017,3/8/2017,1455,42
145,22,12/13/2017,12/15/2017,1692,73
146,4,6/4/2017,6/7/2017,858,25
147,25,10/14/2017,10/23/2017,2797,12
148,14,11/30/2017,12/8/2017,1621,62
149,10,5/5/2017,5/9/2017,586,25
150,3,3/13/2017,3/18/2017,1485,27
151,12,3/7/2017,3/10/2017,1997,40
152,11,9/22/2017,9/27/2017,2654,8
153,21,4/21/2017,4/30/2017,2837,36
154,5,9/20/2017,9/30/2017,2059,52
155,25,12/28/2017,1/3/2018,534,63
156,16,1/17/2017,1/18/2017,3529,34
157,14,4/14/2017,4/15/2017,70,12
158,26,5/2/2017,5/2/2017,368,25
159,13,3/11/2017,3/16/2017,3668,99
160,24,8/15/2017,8/21/2017,1308,50
161,25,7/6/2017,7/11/2017,2241,31
162,18,8/14/2017,8/22/2017,1032,43
163,13,4/11/2017,4/14/2017,1806,20
164,2,2/15/2017,2/20/2017,785,17
165,17,9/6/2017,9/15/2017,3947,61
166,18,8/4/2017,8/10/2017,1891,58
167,3,4/24/2017,4/30/2017,191,21
168,1,4/20/2017,4/28/2017,1786,57
169,5,9/23/2017,9/24/2017,3968,63
170,6,6/29/2017,7/8/2017,1387,26
171,10,11/18/2017,11/28/2017,778,24
172,9,7/10/2017,7/15/2017,2165,49
173,12,10/10/2017,10/11/2017,527,2
174,5,7/2/2017,7/8/2017,1471,96
175,7,10/30/2017,10/31/2017,1424,18
176,16,3/10/2017,3/12/2017,3981,75
177,8,8/28/2017,8/30/2017,1136,62
178,8,5/2/2017,5/7/2017,824,51
179,21,8/29/2017,8/31/2017,3402,22
180,2,2/9/2017,2/11/2017,2619,11
181,3,11/7/2017,11/15/2017,2711,34
182,23,8/21/2017,8/22/2017,2299,29
183,27,3/17/2017,3/24/2017,59,53
184,21,11/10/2017,11/20/2017,2889,20
185,4,8/18/2017,8/28/2017,2921,13
186,20,6/17/2017,6/19/2017,1083,77
187,16,1/31/2017,2/9/2017,903,23
188,2,12/4/2017,12/7/2017,1226,75
189,14,12/27/2017,12/29/2017,368,25
190,16,7/15/2017,7/18/2017,665,21
191,26,7/17/2017,7/18/2017,3734,63
192,19,1/20/2017,1/22/2017,1029,43
193,12,12/18/2017,12/21/2017,3209,46
194,16,11/29/2017,12/6/2017,3720,63
195,11,8/2/2017,8/6/2017,3574,94
196,5,12/30/2017,1/8/2018,1686,50
197,18,3/28/2017,4/2/2017,186,39
198,9,10/24/2017,10/29/2017,2669,47
199,14,2/12/2017,2/17/2017,3484,26
200,22,2/2/2017,2/3/2017,3384,47
201,8,9/3/2017,9/12/2017,2311,38
202,26,5/13/2017,5/13/2017,1409,8
203,30,11/29/2017,11/30/2017,363,78
204,10,9/5/2017,9/5/2017,431,18
205,6,1/22/2017,1/23/2017,3279,18
206,24,10/1/2017,10/2/2017,136,68
207,26,5/28/2017,6/6/2017,3148,88
208,23,1/12/2017,1/18/2017,1240,85
209,26,2/22/2017,2/28/2017,1118,46
210,28,12/8/2017,12/13/2017,3269,73
211,25,5/16/2017,5/24/2017,3158,46
212,21,3/2/2017,3/4/2017,3599,92
213,16,1/6/2017,1/6/2017,3053,55
214,20,7/31/2017,8/6/2017,2917,31
215,3,4/8/2017,4/16/2017,203,18
216,24,1/22/2017,1/31/2017,2474,16
217,11,10/1/2017,10/3/2017,1823,30
218,3,5/7/2017,5/11/2017,1527,44
219,11,12/14/2017,12/16/2017,452,30
220,16,9/7/2017,9/10/2017,1699,44
221,27,3/27/2017,3/31/2017,1498,58
222,27,7/29/2017,8/5/2017,2256,31
223,18,1/21/2017,1/28/2017,3206,47
224,28,5/31/2017,6/5/2017,3391,2
225,2,8/30/2017,9/7/2017,938,93
226,18,12/14/2017,12/16/2017,1433,7
227,10,11/4/2017,11/5/2017,3280,72
228,10,3/5/2017,3/8/2017,2533,41
229,6,10/18/2017,10/23/2017,3142,14
230,20,5/20/2017,5/26/2017,2977,12
231,23,5/14/2017,5/17/2017,3776,71
232,27,5/12/2017,5/20/2017,519,87
233,24,1/3/2018,1/9/2018,2279,20
234,4,8/14/2017,8/15/2017,860,54
235,20,6/3/2017,6/4/2017,2095,99
236,14,8/19/2017,8/22/2017,2175,29
237,18,12/21/2017,12/24/2017,1436,45
238,14,7/14/2017,7/21/2017,7,40
239,10,4/27/2017,5/3/2017,584,17
240,13,1/15/2017,1/23/2017,2363,23
241,15,4/22/2017,4/24/2017,3885,64
242,3,10/12/2017,10/13/2017,524,49
243,4,8/12/2017,8/18/2017,2485,3
244,14,1/2/2017,1/2/2017,3043,45
245,3,1/25/2017,1/29/2017,1808,80
246,28,12/12/2017,12/13/2017,3345,1
247,29,3/12/2017,3/17/2017,3912,5
248,19,1/17/2017,1/22/2017,3875,56
249,16,2/15/2017,2/25/2017,444,60
250,19,10/2/2017,10/12/2017,3359,3
251,18,4/28/2017,5/3/2017,80,22
252,6,5/29/2017,6/1/2017,2824,54
253,16,12/8/2017,12/17/2017,1084,69
254,5,1/3/2017,1/7/2017,1378,9
255,21,12/20/2017,12/24/2017,2741,16
256,7,12/31/2017,12/31/2017,2145,20
257,25,4/21/2017,4/26/2017,650,15
258,22,2/8/2017,2/16/2017,2487,55
259,4,9/20/2017,9/28/2017,2664,50
260,4,5/6/2017,5/13/2017,2428,11
261,30,10/14/2017,10/16/2017,2771,57
262,29,9/4/2017,9/8/2017,577,97
263,28,3/25/2017,4/1/2017,2633,1
264,19,2/11/2017,2/15/2017,821,77
265,20,5/18/2017,5/23/2017,3331,5
266,11,7/24/2017,7/29/2017,2332,50
267,26,3/17/2017,3/27/2017,1049,83
268,27,8/1/2017,8/5/2017,713,55
269,7,5/25/2017,6/2/2017,95,52
270,7,5/26/2017,5/27/2017,2449,13
271,14,11/23/2017,11/25/2017,2659,16
272,21,10/26/2017,11/1/2017,1269,34
273,26,10/10/2017,10/19/2017,3406,47
274,25,12/23/2017,12/29/2017,895,36
275,17,12/6/2017,12/13/2017,2220,39
276,2,1/23/2017,1/28/2017,403,34
277,8,9/27/2017,9/28/2017,3486,89
278,16,6/11/2017,6/16/2017,3508,81
279,27,5/31/2017,6/9/2017,501,34
280,23,7/15/2017,7/18/2017,2123,24
281,14,6/12/2017,6/20/2017,2598,56
282,14,12/2/2017,12/5/2017,2077,94
283,19,2/23/2017,3/4/2017,225,15
284,3,5/30/2017,5/31/2017,1355,53
285,13,10/14/2017,10/15/2017,2591,39
286,30,4/29/2017,5/2/2017,1960,47
287,13,1/10/2017,1/20/2017,1433,7
288,4,1/10/2017,1/14/2017,860,54
289,20,7/20/2017,7/21/2017,478,29
290,17,2/18/2017,2/21/2017,1147,89
291,21,5/20/2017,5/25/2017,363,78
292,24,2/19/2017,2/28/2017,2009,32
293,3,5/26/2017,6/3/2017,3949,9
294,28,10/23/2017,10/26/2017,2494,28
295,15,10/29/2017,10/30/2017,1348,91
296,22,5/30/2017,6/6/2017,3687,65
297,20,5/20/2017,5/23/2017,137,74
298,30,4/24/2017,5/3/2017,232,46
299,14,1/7/2017,1/8/2017,3636,64
300,25,4/9/2017,4/13/2017,2821,9
301,30,2/26/2017,3/3/2017,575,33
302,5,11/12/2017,11/22/2017,1649,96
303,13,10/21/2017,10/25/2017,2204,23
304,26,8/17/2017,8/24/2017,749,20
305,18,11/30/2017,12/1/2017,2204,23
306,9,2/9/2017,2/17/2017,2232,73
307,29,5/28/2017,5/31/2017,2748,55
308,29,11/10/2017,11/20/2017,2347,8
309,25,4/22/2017,4/27/2017,1117,20
310,19,7/15/2017,7/22/2017,349,91
311,6,10/31/2017,11/8/2017,2217,61
312,22,11/10/2017,11/16/2017,1190,96
313,4,8/5/2017,8/9/2017,53,79
314,4,10/20/2017,10/26/2017,3701,43
315,25,10/21/2017,10/30/2017,1719,33
316,28,4/23/2017,5/2/2017,2982,43
317,11,11/7/2017,11/14/2017,3231,25
318,7,1/23/2017,2/2/2017,179,51
319,15,3/22/2017,3/23/2017,1112,26
320,4,7/7/2017,7/13/2017,2343,10
321,6,5/7/2017,5/15/2017,1439,61
322,11,1/19/2017,1/20/2017,2331,53
323,13,1/13/2017,1/19/2017,2421,2
324,23,3/17/2017,3/25/2017,741,88
325,10,2/26/2017,3/3/2017,959,13
326,9,11/20/2017,11/27/2017,805,63
327,20,3/29/2017,4/3/2017,1066,61
328,21,3/22/2017,3/28/2017,2835,29
329,18,6/9/2017,6/13/2017,1674,63
330,13,8/13/2017,8/19/2017,1462,91
331,22,10/25/2017,11/4/2017,946,89
332,5,5/3/2017,5/12/2017,1258,48
333,30,11/15/2017,11/24/2017,1317,80
334,7,2/2/2017,2/6/2017,1217,7
335,27,10/13/2017,10/15/2017,3425,77
336,5,11/16/2017,11/25/2017,3223,39
337,24,6/15/2017,6/22/2017,3336,87
338,7,8/29/2017,9/4/2017,2576,49
339,26,2/14/2017,2/21/2017,887,54
340,9,12/18/2017,12/25/2017,3069,6
341,29,3/16/2017,3/21/2017,2721,30
342,18,11/1/2017,11/7/2017,724,34
343,3,6/13/2017,6/16/2017,1896,83
344,27,4/21/2017,4/28/2017,2384,9
345,12,5/8/2017,5/13/2017,735,27
346,25,6/7/2017,6/14/2017,3294,68
347,3,4/4/2017,4/6/2017,54,42
348,7,5/16/2017,5/21/2017,3312,41
349,11,3/6/2017,3/12/2017,2630,25
350,17,12/29/2017,1/7/2018,3275,27
351,29,11/3/2017,11/8/2017,528,8
352,21,9/30/2017,10/1/2017,3171,69
353,9,3/3/2017,3/11/2017,3684,77
354,14,3/26/2017,4/5/2017,2075,10
355,21,11/4/2017,11/5/2017,2379,38
356,23,9/1/2017,9/4/2017,3842,46
357,27,4/12/2017,4/12/2017,1879,62
358,19,12/1/2017,12/6/2017,3651,45
359,22,4/25/2017,5/2/2017,3722,17
360,25,12/2/2017,12/5/2017,3503,25
361,6,9/3/2017,9/7/2017,2993,5
362,2,9/10/2017,9/20/2017,13,56
363,2,6/19/2017,6/28/2017,3093,52
364,2,12/5/2017,12/9/2017,652,61
365,13,5/5/2017,5/11/2017,4001,80
366,15,7/27/2017,7/31/2017,725,24
367,18,5/5/2017,5/8/2017,2240,64
368,19,7/3/2017,7/7/2017,566,18
369,23,9/13/2017,9/20/2017,2772,14
370,27,6/10/2017,6/15/2017,2035,22
371,2,1/11/2017,1/16/2017,2164,92
372,3,9/3/2017,9/13/2017,1705,39
373,15,2/2/2017,2/8/2017,418,22
374,29,5/2/2017,5/3/2017,2710,6
375,23,3/7/2017,3/9/2017,2747,25
376,18,6/17/2017,6/26/2017,2501,49
377,18,8/20/2017,8/26/2017,2055,70
378,21,8/31/2017,9/4/2017,299,23
379,22,7/4/2017,7/8/2017,2148,49
380,26,9/26/2017,10/5/2017,2951,41
381,29,2/21/2017,3/1/2017,574,98
382,27,11/27/2017,12/2/2017,3847,72
383,9,8/14/2017,8/23/2017,288,95
384,2,3/21/2017,3/22/2017,3492,19
385,7,5/26/2017,5/26/2017,2814,31
386,16,3/2/2017,3/10/2017,1224,22
387,12,6/13/2017,6/14/2017,3745,10
388,10,11/18/2017,11/27/2017,2207,28
389,25,1/10/2017,1/11/2017,3455,52
390,7,1/25/2017,2/1/2017,1824,29
391,15,9/14/2017,9/24/2017,757,10
392,25,2/1/2017,2/3/2017,1635,80
393,3,2/4/2017,2/9/2017,283,48
394,15,2/23/2017,2/24/2017,3150,42
395,5,9/21/2017,9/30/2017,180,70
396,28,3/26/2017,3/31/2017,2654,8
397,18,6/5/2017,6/13/2017,2691,26
398,2,7/19/2017,7/28/2017,86,86
399,29,3/18/2017,3/19/2017,1217,7
400,26,6/17/2017,6/25/2017,2211,43
401,3,5/22/2017,5/24/2017,778,24
402,19,8/22/2017,8/28/2017,1692,73
403,11,5/26/2017,6/3/2017,2932,7
404,18,8/6/2017,8/6/2017,384,4
405,11,5/13/2017,5/14/2017,2237,75
406,11,8/12/2017,8/13/2017,3620,67
407,1,9/4/2017,9/6/2017,3950,53
408,9,1/28/2017,1/29/2017,3992,81
409,17,12/31/2017,1/8/2018,1799,84
410,23,11/8/2017,11/17/2017,1940,55
411,15,5/24/2017,5/25/2017,1283,29
412,1,11/23/2017,11/24/2017,2083,3
413,22,8/2/2017,8/12/2017,1741,28
414,19,5/31/2017,6/7/2017,1144,62
415,26,5/9/2017,5/14/2017,1586,35
416,4,1/27/2017,1/30/2017,3358,30
417,24,1/9/2017,1/14/2017,2157,21
418,9,11/10/2017,11/16/2017,1856,56
419,24,2/17/2017,2/26/2017,3385,94
420,27,5/17/2017,5/26/2017,155,65
421,12,7/1/2017,7/2/2017,3046,10
422,20,5/30/2017,5/30/2017,1126,64
423,1,3/25/2017,4/3/2017,3822,20
424,16,4/5/2017,4/11/2017,1313,2
425,23,3/3/2017,3/8/2017,3425,77
426,13,2/16/2017,2/24/2017,238,85
427,13,1/13/2017,1/21/2017,1039,89
428,7,12/22/2017,12/24/2017,1808,80
429,7,10/19/2017,10/23/2017,403,34
430,8,8/12/2017,8/15/2017,546,30
431,29,9/22/2017,10/1/2017,2525,59
432,16,3/26/2017,3/29/2017,2727,20
433,6,2/19/2017,2/25/2017,1472,42
434,5,11/27/2017,12/5/2017,1702,38
435,29,5/4/2017,5/10/2017,2621,19
436,28,4/20/2017,4/21/2017,139,46
437,9,5/20/2017,5/25/2017,1536,63
438,26,4/9/2017,4/19/2017,2593,12
439,18,9/14/2017,9/20/2017,1949,65
440,1,11/25/2017,12/1/2017,1025,77
441,28,10/18/2017,10/26/2017,2009,32
442,29,7/22/2017,7/29/2017,361,87
443,2,2/27/2017,3/9/2017,1132,68
444,7,3/24/2017,3/30/2017,1640,82
445,15,4/28/2017,5/4/2017,11,11
446,22,3/8/2017,3/16/2017,1024,41
447,13,3/17/2017,3/26/2017,2608,31
448,16,3/19/2017,3/25/2017,2880,53
449,15,4/28/2017,5/3/2017,385,84
450,11,2/22/2017,2/28/2017,2492,33
451,14,10/9/2017,10/12/2017,2299,29
452,1,6/28/2017,7/7/2017,3078,28
453,5,3/13/2017,3/17/2017,2013,96
454,18,11/5/2017,11/11/2017,3006,20
455,28,9/17/2017,9/25/2017,1723,30
456,12,9/11/2017,9/17/2017,2755,58
457,19,8/30/2017,9/6/2017,3623,35
458,3,6/13/2017,6/19/2017,2597,35
459,27,1/11/2017,1/17/2017,2545,45
460,2,12/22/2017,12/27/2017,2623,22
461,7,4/6/2017,4/15/2017,1969,97
462,28,10/9/2017,10/12/2017,3564,87
463,6,11/30/2017,12/7/2017,944,14
464,20,5/29/2017,6/7/2017,1423,97
465,24,5/30/2017,6/7/2017,3825,100
466,14,2/13/2017,2/15/2017,156,4
467,14,2/23/2017,2/28/2017,3212,65
468,11,11/28/2017,12/2/2017,229,25
469,20,1/14/2017,1/17/2017,2021,20
470,19,10/27/2017,11/3/2017,2865,11
471,28,4/9/2017,4/9/2017,1645,65
472,29,4/5/2017,4/10/2017,532,58
473,24,10/9/2017,10/18/2017,2382,18
474,21,5/8/2017,5/15/2017,1056,55
475,7,6/9/2017,6/11/2017,1338,21
476,29,3/2/2017,3/4/2017,748,77
477,10,8/7/2017,8/14/2017,2949,25
478,12,2/11/2017,2/18/2017,1422,63
479,28,10/11/2017,10/16/2017,464,73
480,8,6/10/2017,6/15/2017,3274,11
481,3,12/11/2017,12/17/2017,2203,18
482,24,11/2/2017,11/5/2017,2853,50
483,2,9/2/2017,9/7/2017,3823,78
484,11,5/13/2017,5/23/2017,3789,13
485,4,6/3/2017,6/9/2017,3239,21
486,9,10/4/2017,10/9/2017,2962,26
487,24,7/8/2017,7/12/2017,3440,15
488,3,9/13/2017,9/23/2017,1984,46
489,2,4/21/2017,4/24/2017,1256,43
490,22,7/27/2017,7/28/2017,2781,8
491,29,7/12/2017,7/12/2017,315,93
492,2,9/8/2017,9/11/2017,849,12
493,9,3/20/2017,3/27/2017,128,14
494,5,6/18/2017,6/26/2017,980,83
495,13,10/30/2017,11/2/2017,3217,72
496,6,7/18/2017,7/22/2017,3278,20
497,3,12/27/2017,1/5/2018,1970,5
498,18,12/20/2017,12/20/2017,2475,22
499,19,4/18/2017,4/24/2017,2650,25
500,14,3/21/2017,3/30/2017,1218,6
501,14,1/12/2017,1/20/2017,716,92
502,12,6/20/2017,6/26/2017,1577,55
503,17,2/19/2017,2/22/2017,967,88
504,6,1/13/2017,1/14/2017,3454,35
505,6,2/16/2017,2/18/2017,2885,25
506,15,6/1/2017,6/7/2017,130,64
507,9,1/2/2018,1/5/2018,3182,94
508,4,9/15/2017,9/21/2017,17,8
509,12,10/9/2017,10/14/2017,856,54
510,26,7/13/2017,7/22/2017,1592,19
511,18,4/13/2017,4/13/2017,3736,25
512,27,9/9/2017,9/13/2017,1558,88
513,16,4/16/2017,4/20/2017,125,61
514,17,12/7/2017,12/14/2017,3807,71
515,15,3/27/2017,3/31/2017,732,82
516,2,7/12/2017,7/16/2017,2569,9
517,23,6/11/2017,6/19/2017,3908,61
518,12,1/3/2017,1/4/2017,131,92
519,17,1/13/2017,1/14/2017,750,39
520,20,10/13/2017,10/15/2017,3046,10
521,10,7/24/2017,7/25/2017,602,85
522,3,3/3/2017,3/6/2017,202,49
523,19,4/2/2017,4/3/2017,3864,73
524,14,2/10/2017,2/11/2017,1508,48
525,20,8/1/2017,8/1/2017,2902,11
526,17,11/22/2017,11/26/2017,3366,16
527,7,12/10/2017,12/12/2017,336,77
528,17,2/23/2017,2/26/2017,1943,7
529,5,9/15/2017,9/23/2017,3117,6
530,1,10/29/2017,11/3/2017,1429,14
531,4,6/2/2017,6/11/2017,2970,19
532,17,4/21/2017,4/28/2017,3714,33
533,14,10/29/2017,10/31/2017,2958,21
534,20,7/3/2017,7/12/2017,30,83
535,29,7/7/2017,7/12/2017,2819,47
536,16,8/9/2017,8/15/2017,952,31
537,5,8/23/2017,8/31/2017,3238,6
538,15,8/17/2017,8/23/2017,1040,43
539,17,4/27/2017,5/7/2017,3141,71
540,27,10/1/2017,10/5/2017,2063,17
541,7,3/3/2017,3/6/2017,1829,55
542,17,5/18/2017,5/25/2017,3985,54
543,27,5/18/2017,5/24/2017,179,51
544,2,1/20/2017,1/26/2017,3419,16
545,27,3/12/2017,3/12/2017,2929,25
546,20,7/14/2017,7/19/2017,584,17
547,8,9/3/2017,9/12/2017,1236,57
548,13,8/28/2017,9/6/2017,469,64
549,20,12/2/2017,12/9/2017,2132,66
550,16,11/6/2017,11/15/2017,252,63
551,4,12/26/2017,12/29/2017,104,71
552,12,1/11/2017,1/17/2017,601,16
553,21,7/5/2017,7/9/2017,3433,94
554,29,9/24/2017,9/29/2017,2333,52
555,4,3/19/2017,3/20/2017,3370,23
556,7,4/26/2017,4/27/2017,826,15
557,7,11/7/2017,11/16/2017,888,10
558,29,10/5/2017,10/11/2017,226,82
559,15,7/2/2017,7/9/2017,983,17
560,25,10/6/2017,10/9/2017,1462,91
561,6,11/10/2017,11/17/2017,2290,58
562,20,12/24/2017,12/26/2017,358,3
563,17,8/6/2017,8/9/2017,2754,58
564,13,9/3/2017,9/11/2017,3800,68
565,10,3/29/2017,4/5/2017,1346,61
566,22,6/14/2017,6/19/2017,194,64
567,4,6/4/2017,6/5/2017,1810,58
568,22,7/27/2017,8/5/2017,1671,16
569,4,5/11/2017,5/14/2017,58,24
570,15,4/6/2017,4/15/2017,1109,21
571,26,11/30/2017,12/1/2017,3955,30
572,30,2/3/2017,2/12/2017,1614,21
573,17,4/23/2017,5/1/2017,2642,16
574,9,7/1/2017,7/4/2017,2526,36
575,21,1/5/2017,1/11/2017,3055,36
576,26,1/30/2017,2/8/2017,3617,30
577,6,4/19/2017,4/22/2017,2747,25
578,3,1/12/2017,1/15/2017,1151,24
579,25,5/14/2017,5/21/2017,2450,24
580,24,6/4/2017,6/11/2017,2449,13
581,27,8/30/2017,9/1/2017,2784,36
582,19,8/18/2017,8/21/2017,2681,45
583,20,8/21/2017,8/21/2017,2319,40
584,9,5/11/2017,5/20/2017,148,41
585,5,7/15/2017,7/17/2017,3164,91
586,11,5/5/2017,5/6/2017,739,46
587,17,7/24/2017,7/27/2017,2844,43
588,7,6/11/2017,6/12/2017,1862,46
589,1,12/1/2017,12/4/2017,2500,43
590,15,8/27/2017,8/27/2017,3607,42
591,10,10/23/2017,10/31/2017,3761,21
592,20,2/25/2017,2/26/2017,148,41
593,18,8/21/2017,8/24/2017,11,11
594,12,11/16/2017,11/25/2017,2154,94
595,8,8/25/2017,8/27/2017,3370,23
596,7,5/19/2017,5/21/2017,3375,3
597,2,12/12/2017,12/20/2017,1190,96
598,26,12/23/2017,12/30/2017,319,24
599,14,9/7/2017,9/15/2017,1685,67
600,26,12/6/2017,12/7/2017,2856,60
601,13,3/1/2017,3/9/2017,3823,78
602,1,10/31/2017,11/4/2017,3282,92
603,25,10/19/2017,10/23/2017,2154,94
604,8,12/16/2017,12/17/2017,3740,49
605,13,12/24/2017,12/28/2017,989,83
606,15,7/18/2017,7/21/2017,3906,37
607,25,9/8/2017,9/16/2017,1581,71
608,23,5/25/2017,6/3/2017,43,47
609,16,12/9/2017,12/17/2017,3793,18
610,22,1/8/2017,1/15/2017,2842,36
611,8,6/26/2017,7/4/2017,1487,93
612,1,7/28/2017,8/2/2017,3944,69
